rank,cityState,percentHouseholdWithIntAcc,numHouseHoldsWithoutIntAcc
177,"Mesa, Arizona",78.20%,"36,346"
178,"Fort Lauderdale, Florida",78.10%,"16,212"
179,"New York, New York",78.10%,"675,906"
180,"Gresham, Oregon",78%,"8,535"
181,"Tucson, Arizona",78%,"45,762"
182,"Corpus Christi, Texas",77.90%,"25,610"
183,"St. Petersburg, Florida",77.80%,"23,833"
184,"High Point, North Carolina",77.80%,"9,051"
185,"Fort Wayne, Indiana",77.80%,"22,616"
186,"Las Cruces, New Mexico",77.70%,"8,766"
187,"Tampa, Florida",77.60%,"32,769"
188,"Norfolk, Virginia",77.50%,"19,243"
189,"Santa Ana, California",77.40%,"17,223"
190,"Palmdale, California",77.40%,"10,060"
191,"Pittsburgh, Pennsylvania",77.30%,"29,544"
192,"Green Bay, Wisconsin",77.30%,"9,535"
193,"Tacoma, Washington",77.30%,"18,529"
194,"Escondido, California",77.20%,"10,202"
195,"McAllen, Texas",77.10%,"9,462"
196,"Pomona, California",77.10%,"9,047"
197,"Albuquerque, New Mexico",77.10%,"49,957"
198,"Omaha, Nebraska",77.10%,"39,356"
199,"Huntsville, Alabama",76.90%,"18,402"
200,"Independence, Missouri",76.80%,"11,425"
201,"Little Rock, Arkansas",76.70%,"17,988"
202,"Pompano Beach, Florida",76.40%,"9,686"
203,"Des Moines, Iowa",76.30%,"19,418"
204,"Clearwater, Florida",76.30%,"11,105"
205,"Lakeland, Florida",76.30%,"9,134"
206,"Victorville, California",76.20%,"7,438"
207,"Athens-Clarke County, Georgia",76%,"10,555"
208,"Louisville/Jefferson, Kentucky",76%,"59,480"
209,"Montgomery, Alabama",76%,"18,837"
210,"Phoenix, Arizona",75.90%,"124,822"
211,"Bridgeport, Connecticut",75.70%,"11,714"
212,"Kansas City, Missouri",75.60%,"47,110"
213,"Grand Rapids, Michigan",75.50%,"17,717"
214,"Amarillo, Texas",75.40%,"18,482"
215,"Houston, Texas",75.10%,"202,782"
216,"Chicago, Illinois",75.10%,"256,481"
217,"Lansing, Michigan",75%,"12,255"
218,"San Antonio, Texas",74.70%,"124,833"
219,"Norwalk, California",74.60%,"6,871"
220,"Inglewood, California",74.60%,"9,331"
221,"Ontario, California",74.50%,"12,023"
222,"Winston-Salem, North Carolina",74.30%,"24,140"
223,"Modesto, California",74.30%,"17,843"
224,"Richmond, Virginia",74.30%,"22,666"
225,"Lancaster, California",74.20%,"13,052"
226,"Columbus, Georgia",74%,"18,649"
227,"Columbia, South Carolina",74%,"11,485"
228,"Indianapolis, Indiana",74%,"84,818"
229,"Peoria, Illinois",73.80%,"12,316"
230,"Tulsa, Oklahoma",73.80%,"42,675"
231,"San Angelo, Texas",73.60%,"10,033"
232,"Rockford, Illinois",73.60%,"15,360"
233,"Topeka, Kansas",73.50%,"14,411"
234,"Wichita, Kansas",73.40%,"40,170"
235,"Davenport, Iowa",73.30%,"10,903"
236,"Pasadena, Texas",73.30%,"12,222"
237,"Fresno, California",73%,"43,541"
238,"Oxnard, California",73%,"13,736"
239,"Savannah, Georgia",72.90%,"14,356"
240,"Knoxville, Tennessee",72.70%,"21,881"
241,"Springfield, Missouri",72.70%,"19,678"
242,"Baton Rouge, Louisiana",72.50%,"24,367"
243,"Stockton, California",72.50%,"24,967"
244,"Elizabeth, New Jersey",72.50%,"10,984"
245,"Lowell, Massachusetts",71.80%,"10,869"
246,"Dallas, Texas",71.50%,"135,640"
247,"Allentown, Pennsylvania",71.50%,"11,353"
248,"Chattanooga, Tennessee",71.40%,"19,608"
249,"West Palm Beach, Florida",71.30%,"11,710"
250,"El Paso, Texas",71.30%,"63,047"
251,"San Bernardino, California",71.20%,"16,198"
252,"Waco, Texas",71.20%,"13,450"
253,"Providence, Rhode Island",71%,"17,588"
254,"Warren, Michigan",70.50%,"16,169"
255,"Augusta-Richmond County, Georgia",70.40%,"20,427"
256,"Philadelphia, Pennsylvania",70.20%,"173,795"
257,"Toledo, Ohio",70.20%,"35,363"
258,"Erie, Pennsylvania",70.10%,"12,217"
259,"Cincinnati, Ohio",69.70%,"40,361"
260,"Pueblo, Colorado",69.70%,"12,787"
261,"Baltimore, Maryland",69.60%,"74,116"
262,"Springfield, Massachusetts",69.40%,"16,974"
263,"Glendale, Arizona",69%,"24,628"
264,"Abilene, Texas",68.90%,"13,208"
265,"Milwaukee, Wisconsin",68.80%,"72,129"
266,"Syracuse, New York",68.80%,"17,170"
267,"North Charleston, South Carolina",68.80%,"11,547"
268,"South Bend, Indiana",68.70%,"12,675"
269,"Akron, Ohio",68.20%,"26,112"
270,"St. Louis, Missouri",68.10%,"44,815"
271,"Shreveport, Louisiana",67.90%,"24,934"
272,"Newark, New Jersey",67.80%,"29,992"
273,"Memphis, Tennessee",67.70%,"80,922"
274,"Buffalo, New York",67.40%,"35,679"
275,"Kansas City, Kansas",67.20%,"17,223"
276,"Mobile, Alabama",66.50%,"24,794"
277,"Waterbury, Connecticut",66.30%,"13,421"
278,"New Orleans, Louisiana",66.20%,"53,572"
279,"Paterson, New Jersey",66%,"15,047"
280,"Rochester, New York",65.90%,"29,448"
281,"Dayton, Ohio",65.80%,"20,180"
282,"Beaumont, Texas",65.60%,"15,391"
283,"Evansville, Indiana",64.70%,"17,530"
284,"New Haven, Connecticut",64.10%,"17,939"
285,"Cleveland, Ohio",63.90%,"59,403"
286,"Miami Gardens, Florida",63.60%,"11,467"
287,"Miami, Florida",63.20%,"56,886"
288,"Jackson, Mississippi",61.20%,"24,912"
289,"Brownsville, Texas",61.10%,"19,340"
290,"Birmingham, Alabama",61%,"34,626"
291,"Hialeah, Florida",60.70%,"27,648"
292,"Detroit, Michigan",60.10%,"101,923"
293,"Laredo, Texas",59.80%,"26,376"
294,"El Monte, California",58%,"13,190"
295,"Hartford, Connecticut",57.70%,"19,539"
296,"Santa Maria, California",56.10%,"11,942"
